,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
70168,Willing Student,None,Subscribed to 2600,Low Rider,Custodian,5,11,31133,10,11,101101,11,559,6,1,1,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Blue Denim,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Black,Medium Curly Bob,White Medium Rain
70169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70180,Teacher,None,Read the Bitcoin white paper twice,70's Hatchback,Talent Agent,11,10,1993,7,9,35555,7,725,11,1,1,,,Black Books,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Blue Longsleeve,,Light Grey,Long Messy,White Medium Rain
70181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70215,Disciple,None,Memorized the IT desk number,Low Rider,Unemployed,10,5,1993,7,11,22576,6,661,8,1,1,,Stud Earring,Black Books,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Dark Gray Cardigan with Light Gray Oxford Shirt,Goatee,Auburn,Straight Sideswept Fringe,White Heavy Rain
70216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70220,Master,None,Stole a high school computer lab pass,Low Rider,Day Trader,12,12,32566218,17,11,35555,7,711,10,1,1,Black Leather Briefcase,,Black Books,,,White Canvas Sneaker with White Sole,Navy Slacks,Blue Longsleeve,,Light Grey,,White Heavy Rain
70221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70232,Teacher,None,Read the Bitcoin white paper twice,Low Rider,Media Executive,11,10,4981,8,11,52968,8,559,6,1,1,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Olive Oxford with Pocket,,Black,Short Coil,White Medium Rain
70233,Graduate,None,Read the Bitcoin white paper twice,70's Hatchback,Bookkeeper,9,10,777,6,9,5260,4,610,7,1,1,Black Smartphone,,Rosegold Aviators,,,White Canvas Sneaker with White Sole,Blue Denim,Navy Oxford with Tie,,Dark Brown,Short Updo,White Medium Rain
70234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70239,Promising Pupil,None,Read beginner’s guide to hacking - Y2K edition,Pragmatic Coupe,Blockchain Engineer,7,7,12061562,16,10,35555,7,559,6,1,1,,Stud Earring,,,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Gray Blazer with Black Shirt and Gray Tie,Mustache,Light Brown,Short Coil,White Light Rain
70240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70254,Grandmaster,None,Read the Bitcoin white paper twice,Pragmatic Coupe,Assistant to the Regional Manager,13,10,20,2,10,92000,10,725,11,1,1,Brown Leather Briefcase,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Gray Oxford with Buttons,,Black,Short Pixie,White Heavy Rain
70255,Teacher,None,Still use a dial-up,Back of Rusty Pickup Truck,Media Executive,11,2,128,4,3,35555,7,711,10,1,1,Brown Leather Briefcase,,,,Two Rings,Black Leather Shoes with Laces,,Gray Jumpsuit,Stubble,Dark Brown,Medium Curly Bob,White Light Rain
70256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70269,Graduate,None,Read the Bitcoin white paper twice,70's Hatchback,Sales Associate,9,10,777,6,9,101101,11,725,11,1,1,,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Black,Short Pixie,White Heavy Rain
70270,Teacher,None,Read the Bitcoin white paper twice,Pragmatic Coupe,Talent Agent,11,10,4981,8,10,22576,6,508,5,1,1,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Navy Oxford with Tie and Pocket,,Light Brown,Short Coil,White Light Rain
70271,Teacher,None,Subscribed to 2600,Low Rider,Sales Associate,11,11,31133,10,11,35555,7,777,14,1,1,Brown Leather Briefcase,Stud Earring,Silver Aviators,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Dark Gray Longsleeve,,Blonde,Straight Sideswept Fringe,White Heavy Rain
70272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70284,Budding Scholar,None,Read the Bitcoin white paper twice,Pragmatic Coupe,Blockchain Engineer,8,10,516,5,10,22576,6,753,13,1,1,Brown Leather Briefcase,,Silver Aviators,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Light Gray Longsleeve,Mustache,Light Brown,Straight Sideswept Fringe,White Heavy Rain
70285,Disciple,None,Read beginner’s guide to hacking - Y2K edition,Pragmatic Coupe,NFT Collector,10,7,128,4,10,303303,13,661,8,1,1,,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,Thin,Black,Long Straight Bangs,White Heavy Rain
70286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70290,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70294,Grandmaster,None,Got caught hacking your grades,Three Wheel Roadster,Electrician,13,13,777,6,13,52968,8,699,9,1,1,,,Black Books,,,White Canvas Sneaker with White Sole,,Gray Jumpsuit,,Light Brown,Medium Curly Bob,White Heavy Rain
70295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70298,Disciple,None,Watched a hacking tutorial video by a 13 year old,Low Rider,Bookkeeper,10,8,777,6,11,35555,7,661,8,1,1,Blue Lunchbox,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Gray Oxford with Pocket,,Light Brown,Short Messy,White Light Rain
70299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70301,Awakened Mind,None,Read the Bitcoin white paper twice,70's Hatchback,Compliance Officer,17,10,51,3,9,22576,6,725,11,1,1,Light Blue Smartphone,,,,,Black Leather Shoes with Laces,Gray Slacks,Olive Oxford with Tie,,Auburn,Low Ponytail,White Heavy Rain
70302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70310,Graduate,None,Got caught hacking your grades,Pragmatic Coupe,Receptionist,9,13,516,5,10,92000,10,791,15,1,1,Black Leather Briefcase,,,Navy Blue Worker's Cap,,Black Leather Shoes with Laces,,Khaki Jumpsuit,,Black,Buzz Cut,White Light Rain
70311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70313,Expanding Brain,None,Pretty good with GW Basic,Electric Car,Day Trader,16,9,516,5,12,76302,9,699,9,1,1,Black Smartphone,,Rosegold Aviators,,Ring One Blue,Brown Leather Shoes with Laces,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Dark Brown,,White Light Rain
70314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
